Artist,Song
The Beatles,Hey Jude
The Beatles,Let It Be
The Beatles,Hide your love away
The Beatles,Get Back
The Beatles,Here Comes the Sun
Rolling Stones,Wild Horses
Rolling Stones,"You Can't Always Get What You Want"
Rolling Stones,"As Tears Go By"
Grateful Dead,Friend of the Devil
Grateful Dead,Ripple
Bob Dylan,Like a Rolling Stone
Bob Dylan,Buckets of Rain
Bob Dylan,Knockin' on Heaven's Door
Bob Dylan,Tangled Up in Blue
Bob Dylan,Shelter from the Storm
Bob Dylan,"Don't Think Twice, It's All Right"
Bob Dylan,Mr. Tambourine Man
Bob Dylan,"Knockin on Heavens Door"
ELP, Lucky Man
James Taylor,Fire and Rain
James Taylor,You've Got a Friend
James Taylor,You can close your eyes
Classic Rock,Take It Easy (Eagles)
Neal Diamond,Red Red Wine
Neal Diamond,Im a Believer
Neal Diamond,Sweet Caroline
Neal Diamond,Solitary Man
CCR,"Proud Mary"
CCR,"Lodi"
CCR,"Bad Moon Risin"
Traffic,"Feeling allright"
Don McLean,"American Pie"
Chuck Berry, "Jonny B. Goode"
Eagles, "Take it Easy"
Eagles, "Peaceful easy feeling"
Eagles, "Already Gone"
Maxine Nightingale,"Right Back Where We Started From"
The Rascals, "Good Lovin"
Marshall Tucker Band,"Can't You See"
Marshall Tucker Band,"Fire On the Mountain"
Traffic, "Feeling Alright"
Neil Young,"Heart of Gold"
Neil Young,"Harvest Moon"
Neil Young,"Old Man"
Neil Young,"Helpless"
Van Morrison,"Browne Eyed Girl"
Johnny Cash, "Ring Of Fire"
Johnny Cash, "Folsom Prison Blues"
Little River Band, "Lady"
The Archies, "Sugar Sugar"
Don Gibson, "Sea of Heartbreak"
Don Gibson, "I can't Stop Lovin You"
Kris Kristofferson, "Loving her was easier"
Kris Kristofferson, "Me and Bobby Mcgee"
Merle Haggard,"White Line Feaver"
Merle Haggard,"Mama Tried"
Lobo, "Me and You and a Dog Named Boo"
Traffic, "Feeling Alright"



